anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2021,50,Mendoza,8,Otros delitos contra las personas,2005,2017
2021,50,Mendoza,9,Delitos contra el honor,12,12
2021,50,Mendoza,10,Violaciones,322,341
2021,50,Mendoza,11,Otros delitos contra la integridad sexual,2353,2494
2021,50,Mendoza,12,Delitos contra el estado civil,9,
2021,50,Mendoza,13,Amenazas,13023,
2021,50,Mendoza,14_1,Trata de personas simple,4,4
2021,50,Mendoza,14_2,Trata de personas agravado,0,0
2021,50,Mendoza,14_3,Otros delitos contra la libertad,837,847
2021,50,Mendoza,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),20784,
2021,50,Mendoza,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),1,
2021,50,Mendoza,17,Robos agravados por el resultado de lesiones y/o muertes ,26,
2021,50,Mendoza,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,0,
2021,50,Mendoza,19,Hurtos,12863,
2021,50,Mendoza,20,Tentativas de hurto,0,
2021,50,Mendoza,21,Otros delitos contra la propiedad,9268,
2021,50,Mendoza,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,4,
2021,50,Mendoza,22_2,Tenencia ilegal de armas de fuego,631,
2021,50,Mendoza,22_3,Portación ilegal de armas de fuego,203,
2021,50,Mendoza,22_4,Acopio y fabricación ilegal de armas piezas y municiones,2,
2021,50,Mendoza,22_5,Entrega y comercialización ilegal de armas de fuego,3,
2021,50,Mendoza,22_6,Omisión adulteración y supresión de marcaje,49,
2021,50,Mendoza,22_7,Otros delitos contra la seguridad pública,3625,
2021,50,Mendoza,23,Delitos contra el orden público,25,
2021,50,Mendoza,24,Delitos contra la seguridad de la nación,0,
2021,50,Mendoza,25,Delitos contra los poderes públicos y el orden constitucional,1,
2021,50,Mendoza,26,Delitos contra la administración pública,4941,
2021,50,Mendoza,27,Delitos contra la fe pública,411,
2021,50,Mendoza,28_1,Siembra y producción de estupefacientes,165,
2021,50,Mendoza,28_2,Comercialización y entrega de estupefacientes,347,
2021,50,Mendoza,28_3,Tenencia o entrega atenuada de estupefacientes,326,
2021,50,Mendoza,28_4,Desvío de Importación de estupefacientes,0,
2021,50,Mendoza,28_5,Organización y financiación de estupefacientes,149,
2021,50,Mendoza,28_6,Tenencia simple de estupefacientes,1535,
2021,50,Mendoza,28_7,Tenencia simple atenuada para uso personal de estupefacientes,2185,
2021,50,Mendoza,28_8,Confabulación de estupefacientes,0,
2021,50,Mendoza,28_9,Contrabando de estupefacientes,34,
2021,50,Mendoza,28_10,Otros delitos previstos en la ley 23.737,141,
2021,50,Mendoza,29_1,Ley de residuos peligrosos,1,
2021,50,Mendoza,29_2,Ley de fauna,101,
2021,50,Mendoza,29_3,Delitos migratorios,170,
2021,50,Mendoza,29_4,Obstrucción del código aduanero,2,
2021,50,Mendoza,29_5,Contrabando Simple,158,
2021,50,Mendoza,29_6,Contrabando Agravado,1,
2021,50,Mendoza,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,0,
2021,50,Mendoza,29_8,Otros delitos previstos en leyes especiales,1420,
2021,50,Mendoza,30,Contravenciones,0,
2021,50,Mendoza,31,Suicidios (consumados),197,197
